SINGLE_LINE_ADDRESS,POSTCODE,STREET_NAME
"14 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"16 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"18 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"20 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"22 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"24 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"26 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"28 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"30 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"32 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"34 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"36 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"38 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"42 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"46 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"88 MOORFIELD ROAD, WHITTLESFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"90 MOORFIELD ROAD, WHITTLESFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"LEICESTER HOUSE, 10B MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"48 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"ANTIQUE SHOP, 4 MOORFIELD ROAD, DUXFORD, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"DUXFORD GARAGE, 40 MOORFIELD ROAD, DUXFORD, CAMBRIDGE, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"WHITTLESFORD & DUXFORD SCOUT GROUP, SCOUT HUT, MOORFIELD ROAD, DUXFORD, CB22 4PS","CB22 4PS","MOORFIELD ROAD"
"CHELMER VALLEY CARE HOME, BROOMFIELD CARE HOME, PUDDINGS WOOD DRIVE, BROOMFIELD, CHELMSFORD, CM1 7FG","CM1 7FG","PUDDINGS WOOD DRIVE"
"THE CRYSTAL CENTRE, THE LINDEN CENTRE, PUDDINGS WOOD DRIVE, BROOMFIELD, CHELMSFORD, CM1 7FG","CM1 7FG","PUDDINGS WOOD DRIVE"
"LAND NORTH SOUTH AND WEST OF FARLEIGH HOSPICE, WOODHOUSE LANE, BROOMFIELD, CHELMSFORD, CM1 7FG","CM1 7FG","WOODHOUSE LANE"
"THE NEWLANDS BUTCHERS, 3 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"THOMAS COOK LTD, 4 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"CARDFAIR, 5 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"NEW LOOK, 6-8 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"THE HUB, 17 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"FEATHERS PROFESSIONAL HAIR SALON, 21 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"YAXLEY HAIR & BEAUTY, 27 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
"OXFAM, 28 NEWLANDS PRECINCT, WITHAM, CM8 2AP","CM8 2AP","NEWLANDS PRECINCT"
